X[s],"R BICEPS BRACHII: EMG 5",X[s],"R BICEPS BRACHII: EMG 5->filter (FilterSlidingRMS21)"
0.000000,0,0.000000,0
0.0007941176,0,0.0007941176,0
0.001588235,0,0.001588235,0
0.002382353,0,0.002382353,0
0.003176471,0,0.003176471,0
0.003970588,0,0.003970588,0
0.004764706,0,0.004764706,0
0.005558823,0,0.005558823,0
0.006352941,0,0.006352941,0
0.007147059,0,0.007147059,0
0.007941176,0,0.007941176,0
0.008735294,0,0.008735294,0
0.009529412,0,0.009529412,0
0.01032353,0,0.01032353,0
0.01111765,0,0.01111765,0
0.01191176,0,0.01191176,0
0.01270588,0,0.01270588,0
0.0135,0,0.0135,0
0.01429412,0,0.01429412,0
0.01508824,0,0.01508824,0
0.01588235,0,0.01588235,0
0.01667647,0,0.01667647,0
0.01747059,0,0.01747059,0
0.01826471,0,0.01826471,0
0.01905882,0,0.01905882,0
0.01985294,0,0.01985294,0
0.02064706,0,0.02064706,0
0.02144118,0,0.02144118,0
0.02223529,0,0.02223529,0
0.02302941,0,0.02302941,0
0.02382353,0,0.02382353,0
0.02461765,0,0.02461765,0
0.02541176,0,0.02541176,0
0.02620588,0,0.02620588,0
0.027,0,0.027,0
0.02779412,0,0.02779412,0
0.02858824,0,0.02858824,0
0.02938235,0,0.02938235,0
0.03017647,0,0.03017647,0
0.03097059,0,0.03097059,0
0.0317647,0,0.0317647,0
0.03255882,0,0.03255882,0
0.03335294,0,0.03335294,0
0.03414706,0,0.03414706,0
0.03494118,0,0.03494118,0
0.03573529,0,0.03573529,0
0.03652941,0,0.03652941,0
0.03732353,0,0.03732353,0
0.03811765,0,0.03811765,0
0.03891176,0,0.03891176,0
0.03970588,0,0.03970588,0
0.0405,0,0.0405,0
0.04129412,0,0.04129412,0
0.04208823,0,0.04208823,0
0.04288235,0,0.04288235,0
0.04367647,0,0.04367647,0
0.04447059,0,0.04447059,0
0.04526471,0,0.04526471,0
0.04605882,0,0.04605882,0
0.04685294,0,0.04685294,0
0.04764706,0,0.04764706,0
0.04844118,0,0.04844118,0
0.04923529,0,0.04923529,0
0.05002941,0,0.05002941,0
0.05082353,0,0.05082353,0
0.05161764,0,0.05161764,0
0.05241176,0,0.05241176,0
0.05320588,0,0.05320588,0
0.054,0,0.054,0
0.05479412,0,0.05479412,0
0.05558823,0,0.05558823,0
0.05638235,0,0.05638235,0
0.05717647,0,0.05717647,0
0.05797059,0,0.05797059,0
0.0587647,0,0.0587647,0
0.05955882,0,0.05955882,0
0.06035294,0,0.06035294,0
0.06114706,0,0.06114706,0
0.06194118,0,0.06194118,0
0.0627353,0,0.0627353,0
0.06352941,0,0.06352941,0
0.06432353,0,0.06432353,0
0.06511765,0,0.06511765,0
0.06591176,0,0.06591176,0
0.06670588,0,0.06670588,0
0.0675,0,0.0675,0
0.06829412,0,0.06829412,0
0.06908824,0,0.06908824,0
0.06988236,0,0.06988236,0
0.07067647,0,0.07067647,0
0.07147059,0,0.07147059,0
0.0722647,0,0.0722647,0
0.07305882,0,0.07305882,0
0.07385294,0,0.07385294,0
0.07464705,0,0.07464705,0
0.07544117,0,0.07544117,0
0.07623529,0,0.07623529,0
0.07702941,0,0.07702941,0
0.07782353,0,0.07782353,0
0.07861765,0,0.07861765,0
0.07941176,0,0.07941176,0
0.08020588,0,0.08020588,0
0.081,0,0.081,0
0.08179411,0,0.08179411,0
0.08258823,0,0.08258823,0
0.08338235,0,0.08338235,0
0.08417647,0,0.08417647,0
0.08497059,0,0.08497059,0
0.08576471,0,0.08576471,0
0.08655882,0,0.08655882,0
0.08735294,0,0.08735294,0
0.08814706,0,0.08814706,0
0.08894117,0,0.08894117,0
0.08973529,0,0.08973529,0
0.09052941,0,0.09052941,0
0.09132352,0,0.09132352,0
0.09211764,0,0.09211764,0
0.09291176,0,0.09291176,0
0.09370588,0,0.09370588,0
0.0945,-1.326009E-05,0.0945,0
0.09529412,2.517739E-06,0.09529412,0
0.09608823,5.874723E-06,0.09608823,0
0.09688235,6.378271E-06,0.09688235,0
0.09767647,-3.356985E-07,0.09767647,0
0.09847058,1.174945E-06,0.09847058,0
0.0992647,-1.678492E-07,0.0992647,0
0.1000588,-1.09102E-05,0.1000588,0
0.1008529,-2.198825E-05,0.1008529,0
0.1016471,-3.40734E-05,0.1016471,0
0.1024412,-3.927672E-05,0.1024412,0
0.1032353,-2.198825E-05,0.1032353,0
0.1040294,4.36408E-06,0.1040294,0
0.1048235,1.745632E-05,0.1048235,0
0.1056176,1.426719E-05,0.1056176,0
0.1064118,9.063859E-06,0.1064118,0
0.1072059,1.174945E-06,0.1072059,0
0.108,-1.02388E-05,0.108,0
0.1087941,-1.326009E-05,0.1087941,0
0.1095882,-2.030976E-05,0.1095882,0
0.1103823,-3.37377E-05,0.1103823,0
0.1111765,-3.743038E-05,0.1111765,0
0.1119706,-2.903792E-05,0.1119706,0
0.1127647,-3.457694E-05,0.1127647,0
0.1135588,-4.867628E-05,0.1135588,0
0.1143529,-5.690089E-05,0.1143529,0
0.1151471,-4.246586E-05,0.1151471,0
0.1159412,-9.567407E-06,0.1159412,0
0.1167353,2.618448E-05,0.1167353,0
0.1175294,4.448005E-05,0.1175294,0
0.1183235,3.709468E-05,0.1183235,0
0.1191176,2.937362E-05,0.1191176,0
0.1199118,3.978027E-05,0.1199118,0
0.1207059,4.750134E-05,0.1207059,0
0.1215,4.380865E-05,0.1215,0
0.1222941,3.910887E-05,0.1222941,0
0.1230882,2.937362E-05,0.1230882,0
0.1238824,1.426719E-05,0.1238824,0
0.1246765,8.392462E-07,0.1246765,0
0.1254706,-4.531929E-06,0.1254706,0
0.1262647,-7.217518E-06,0.1262647,0
0.1270588,-1.695277E-05,0.1270588,0
0.1278529,-2.870222E-05,0.1278529,0
0.1286471,-2.903792E-05,0.1286471,0
0.1294412,-2.568093E-05,0.1294412,0
0.1302353,-3.491264E-05,0.1302353,0
0.1310294,-4.162661E-05,0.1310294,0
0.1318235,-5.253681E-05,0.1318235,0
0.1326177,-7.335011E-05,0.1326177,0
0.1334118,-9.282063E-05,0.1334118,0
0.1342059,-0.0001143053,0.1342059,0
0.135,-0.0001116197,0.135,0
0.1357941,-6.176852E-05,0.1357941,0
0.1365882,9.567407E-06,0.1365882,0
0.1373824,9.752041E-05,0.1373824,0
0.1381765,0.0001529107,0.1381765,0
0.1389706,0.0001629816,0.1389706,0
0.1397647,0.0001299153,0.1397647,0
0.1405588,6.898604E-05,0.1405588,0
0.1413529,1.879912E-05,0.1413529,0
0.1421471,-7.049668E-06,0.1421471,0
0.1429412,-2.24918E-05,0.1429412,0
0.1437353,-3.877317E-05,0.1437353,0
0.1445294,-3.27306E-05,0.1445294,0
0.1453235,-3.575189E-05,0.1453235,0
0.1461176,-4.582284E-05,0.1461176,0
0.1469118,-4.917983E-05,0.1469118,0
0.1477059,-4.045167E-05,0.1477059,0
0.1485,-2.803082E-05,0.1485,0
0.1492941,-3.155566E-05,0.1492941,0
0.1500882,-3.726253E-05,0.1500882,0
0.1508823,-4.263371E-05,0.1508823,0
0.1516765,-3.23949E-05,0.1516765,0
0.1524706,-1.292439E-05,0.1524706,0
0.1532647,-1.678492E-07,0.1532647,0
0.1540588,3.189136E-06,0.1540588,0
0.1548529,9.567407E-06,0.1548529,0
0.1556471,8.392462E-06,0.1556471,0
0.1564412,1.174945E-06,0.1564412,0
0.1572353,-7.888914E-06,0.1572353,0
0.1580294,-9.063859E-06,0.1580294,0
0.1588235,-1.141375E-05,0.1588235,0
0.1596176,-1.02388E-05,0.1596176,0
0.1604118,-1.527428E-05,0.1604118,0
0.1612059,-1.963836E-05,0.1612059,0
0.162,-2.534523E-05,0.162,0
0.1627941,-2.836652E-05,0.1627941,0
0.1635882,-2.517739E-05,0.1635882,0
0.1643824,-1.913481E-05,0.1643824,0
0.1651765,-1.863127E-05,0.1651765,0
0.1659706,-2.299535E-05,0.1659706,0
0.1667647,-2.467384E-05,0.1667647,0
0.1675588,-2.702373E-05,0.1675588,0
0.1683529,-3.138781E-05,0.1683529,0
0.1691471,-2.702373E-05,0.1691471,0
0.1699412,-1.258869E-05,0.1699412,0
0.1707353,1.174945E-06,0.1707353,0
0.1715294,1.326009E-05,0.1715294,0
0.1723235,1.695277E-05,0.1723235,0
0.1731176,1.460288E-05,0.1731176,0
0.1739118,1.05745E-05,0.1739118,0
0.1747059,7.049668E-06,0.1747059,0
0.1755,3.692683E-06,0.1755,0
0.1762941,-1.678492E-07,0.1762941,0
0.1770882,-3.356985E-07,0.1770882,0
0.1778823,-3.860533E-06,0.1778823,0
0.1786765,-1.02388E-05,0.1786765,0
0.1794706,-1.460288E-05,0.1794706,0
0.1802647,-2.299535E-05,0.1802647,0
0.1810588,-2.265965E-05,0.1810588,0
0.1818529,-1.863127E-05,0.1818529,0
0.182647,-1.577783E-05,0.182647,0
0.1834412,-8.560311E-06,0.1834412,0
0.1842353,-6.378271E-06,0.1842353,0
0.1850294,-2.18204E-06,0.1850294,0
0.1858235,6.881819E-06,0.1858235,0
0.1866176,1.527428E-05,0.1866176,0
0.1874118,1.795987E-05,0.1874118,0
0.1882059,1.493858E-05,0.1882059,0
0.189,1.326009E-05,0.189,0
0.1897941,6.378271E-06,0.1897941,0
0.1905882,2.014191E-06,0.1905882,0
0.1913823,-4.028382E-06,0.1913823,0
0.1921765,-1.12459E-05,0.1921765,0
0.1929706,-1.628138E-05,0.1929706,0
0.1937647,-2.534523E-05,0.1937647,0
0.1945588,-3.390555E-05,0.1945588,0
0.1953529,-2.937362E-05,0.1953529,0
0.1961471,-1.493858E-05,0.1961471,0
0.1969412,8.392462E-07,0.1969412,0
0.1977353,1.19173E-05,0.1977353,0
0.1985294,1.007095E-05,0.1985294,0
0.1993235,6.713969E-07,0.1993235,0
0.2001176,-9.231709E-06,0.2001176,0
0.2009118,-1.762417E-05,0.2009118,0
0.2017059,-2.484169E-05,0.2017059,0
0.2025,-2.735943E-05,0.2025,0
0.2032941,-2.786297E-05,0.2032941,0
0.2040882,-2.098116E-05,0.2040882,0
0.2048824,-1.829557E-05,0.2048824,0
0.2056765,-1.577783E-05,0.2056765,0
0.2064706,-9.567407E-06,0.2064706,0
0.2072647,-3.524834E-06,0.2072647,0
0.2080588,-1.007095E-06,0.2080588,0
0.2088529,2.517739E-06,0.2088529,0
0.2096471,6.54612E-06,0.2096471,0
0.2104412,8.392462E-06,0.2104412,0
0.2112353,7.888914E-06,0.2112353,0
0.2120294,6.881819E-06,0.2120294,0
0.2128235,1.393149E-05,0.2128235,0
0.2136176,1.863127E-05,0.2136176,0
0.2144118,1.225299E-05,0.2144118,0
0.2152059,7.888914E-06,0.2152059,0
0.216,4.196231E-06,0.216,0
0.2167941,-7.217518E-06,0.2167941,0
0.2175882,-1.795987E-05,0.2175882,0
0.2183823,-1.560998E-05,0.2183823,0
0.2191765,-1.460288E-05,0.2191765,0
0.2199706,-1.577783E-05,0.2199706,0
0.2207647,-1.628138E-05,0.2207647,0
0.2215588,-2.232395E-05,0.2215588,0
0.2223529,-2.769513E-05,0.2223529,0
0.223147,-2.903792E-05,0.223147,0
0.2239412,-3.20592E-05,0.2239412,0
0.2247353,-3.474479E-05,0.2247353,0
0.2255294,-3.23949E-05,0.2255294,0
0.2263235,-2.484169E-05,0.2263235,0
0.2271176,-1.560998E-05,0.2271176,0
0.2279118,-3.524834E-06,0.2279118,0
0.2287059,5.203327E-06,0.2287059,0
0.2295,7.049668E-06,0.2295,0
0.2302941,6.54612E-06,0.2302941,0
0.2310882,7.049668E-06,0.2310882,0
0.2318823,-1.846342E-06,0.2318823,0
0.2326765,-1.225299E-05,0.2326765,0
0.2334706,-1.829557E-05,0.2334706,0
0.2342647,-1.661708E-05,0.2342647,0
0.2350588,-1.107805E-05,0.2350588,0
0.2358529,-5.706874E-06,0.2358529,0
0.2366471,-4.531929E-06,0.2366471,0
0.2374412,-7.721065E-06,0.2374412,0
0.2382353,-1.376364E-05,0.2382353,0
0.2390294,-1.460288E-05,0.2390294,0
0.2398235,-1.695277E-05,0.2398235,0
0.2406176,-1.795987E-05,0.2406176,0
0.2414118,-2.333104E-05,0.2414118,0
0.2422059,-3.30663E-05,0.2422059,0
0.243,-5.38796E-05,0.243,0
0.2437941,-8.610666E-05,0.2437941,0
0.2445882,-0.0001168231,0.2445882,0
0.2453824,-0.0001079271,0.2453824,0
0.2461765,-4.448005E-05,0.2461765,0
0.2469706,3.675899E-05,0.2469706,0
0.2477647,0.000111284,0.2477647,0
0.2485588,0.0001341115,0.2485588,0
0.2493529,0.0001149767,0.2493529,2.993456E-05
0.250147,7.167162E-05,0.250147,3.06297E-05
0.2509412,3.021286E-05,0.2509412,3.089559E-05
0.2517353,1.326009E-05,0.2517353,3.094261E-05
0.2525294,6.210422E-06,0.2525294,3.095165E-05
0.2533235,-1.997406E-05,0.2533235,3.095364E-05
0.2541176,-3.692683E-05,0.2541176,3.097415E-05
0.2549118,-2.752728E-05,0.2549118,3.104418E-05
0.2557059,-1.963836E-05,0.2557059,3.108302E-05
0.2565,-6.54612E-06,0.2565,3.110277E-05
0.2572941,8.224612E-06,0.2572941,3.110496E-05
0.2580882,1.678492E-05,0.2580882,3.110843E-05
0.2588823,6.54612E-06,0.2588823,3.112284E-05
0.2596765,-5.539025E-06,0.2596765,3.112504E-05
0.2604706,-1.745632E-05,0.2604706,3.11266E-05
0.2612647,-2.937362E-05,0.2612647,3.114219E-05
0.2620588,-4.129091E-05,0.2620588,3.118628E-05
0.2628529,-4.095522E-05,0.2628529,3.127321E-05
0.263647,-3.642328E-05,0.263647,3.13585E-05
0.2644412,-4.045167E-05,0.2644412,3.142579E-05
0.2652353,-4.817273E-05,0.2652353,3.15086E-05
0.2660294,-4.783703E-05,0.2660294,3.162566E-05
0.2668235,-4.850843E-05,0.2668235,3.174067E-05
0.2676176,-5.203327E-05,0.2676176,3.18585E-05
0.2684118,-4.682994E-05,0.2684118,3.199354E-05
0.2692059,-2.316319E-05,0.2692059,3.21025E-05
0.27,-9.231709E-06,0.27,3.21291E-05
0.2707941,-1.678492E-07,0.2707941,3.213332E-05
0.2715882,5.371176E-06,0.2715882,3.213333E-05
0.2723823,7.721065E-06,0.2723823,3.213476E-05
0.2731765,1.426719E-05,0.2731765,3.213771E-05
0.2739706,1.242084E-05,0.2739706,3.21478E-05
0.2747647,1.510643E-06,0.2747647,3.215544E-05
0.2755588,-7.888914E-06,0.2755588,3.215555E-05
0.2763529,-6.713969E-06,0.2763529,3.215863E-05
0.2771471,-2.517739E-06,0.2771471,3.216086E-05
0.2779412,1.007095E-06,0.2779412,3.216118E-05
0.2787353,6.54612E-06,0.2787353,3.216123E-05
0.2795294,1.05745E-05,0.2795294,3.216335E-05
0.2803235,1.09102E-05,0.2803235,3.216889E-05
0.2811176,1.678492E-05,0.2811176,3.217478E-05
0.2819118,1.393149E-05,0.2819118,3.218872E-05
0.2827059,6.54612E-06,0.2827059,3.219832E-05
0.2835,6.54612E-06,0.2835,3.220044E-05
0.2842941,2.517739E-06,0.2842941,3.220256E-05
0.2850882,-8.560311E-06,0.2850882,3.220287E-05
0.2858824,-1.493858E-05,0.2858824,3.220649E-05
0.2866765,-1.829557E-05,0.2866765,3.221753E-05
0.2874706,-1.577783E-05,0.2874706,3.223406E-05
0.2882647,-1.258869E-05,0.2882647,3.224636E-05
0.2890588,-1.258869E-05,0.2890588,3.225419E-05
0.2898529,-1.359579E-05,0.2898529,3.226201E-05
0.2906471,-1.426719E-05,0.2906471,3.227113E-05
0.2914412,-1.426719E-05,0.2914412,3.228117E-05
0.2922353,-1.393149E-05,0.2922353,3.229121E-05
0.2930294,-1.292439E-05,0.2930294,3.230078E-05
0.2938235,-1.762417E-05,0.2938235,3.230902E-05
0.2946177,-1.863127E-05,0.2946177,3.232432E-05
0.2954118,-1.997406E-05,0.2954118,3.234142E-05
0.2962059,-2.232395E-05,0.2962059,3.236105E-05
0.297,-2.232395E-05,0.297,3.238556E-05
0.2977941,-1.19173E-05,0.2977941,3.241005E-05
0.2985882,-8.728161E-06,0.2985882,3.241703E-05
0.2993824,-1.09102E-05,0.2993824,3.242078E-05
0.3001765,-1.527428E-05,0.3001765,3.242662E-05
0.3009706,-2.349889E-05,0.3009706,3.243807E-05
0.3017647,-2.786297E-05,0.3017647,3.246517E-05
0.3025588,-2.165255E-05,0.3025588,3.250323E-05
0.3033529,-3.692683E-06,0.3033529,3.252619E-05
0.3041471,7.888914E-06,0.3041471,3.252686E-05
0.3049412,1.594568E-05,0.3049412,3.25299E-05
0.3057353,1.829557E-05,0.3057353,3.254235E-05
